Algorithm,Performance_Metric_New,Performance_Metric,Baseline_SCore,Category,Feature_Types,Data_Size
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.513,Camera,Part_Of_Speech,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.922,Camera,Part_Of_Speech,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.655874774,Camera,Part_Of_Speech,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.703101824,Camera,Part_Of_Speech,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.705,Camera,Part_Of_Speech,2k
MX,meanRecall,cv_MX_train.meanRecall,0.703,Camera,Part_Of_Speech,2k
MX,meanFscore,cv_MX_train.meanFscore,0.702995507,Camera,Part_Of_Speech,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.655651814,Camera,Part_Of_Speech,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.618,Camera,Part_Of_Speech,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.812,Camera,Part_Of_Speech,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.701397855,Camera,Part_Of_Speech,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.693697022,Camera,Part_Of_Speech,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.702,Camera,Part_Of_Speech,2k
BG,meanRecall,cv_BG_train.meanRecall,0.679,Camera,Part_Of_Speech,2k
BG,meanFscore,cv_BG_train.meanFscore,0.689051687,Camera,Part_Of_Speech,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.662068139,Camera,Part_Of_Speech,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.64,Camera,Part_Of_Speech,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.734,Camera,Part_Of_Speech,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.683575507,Camera,Part_Of_Speech,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.698601492,Camera,Part_Of_Speech,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.699,Camera,Part_Of_Speech,2k
RF,meanRecall,cv_RF_train.meanRecall,0.701,Camera,Part_Of_Speech,2k
RF,meanFscore,cv_RF_train.meanFscore,0.69829024,Camera,Part_Of_Speech,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.49917617,Camera,Part_Of_Speech,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.499,Camera,Part_Of_Speech,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,Camera,Part_Of_Speech,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.665499125,Camera,Part_Of_Speech,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.642067541,Camera,Part_Of_Speech,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.67,Camera,Part_Of_Speech,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.561,Camera,Part_Of_Speech,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.609187274,Camera,Part_Of_Speech,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.888798274,Camera,Part_Of_Speech,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.706666667,Camera,Part_Of_Speech,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.744444444,Camera,Part_Of_Speech,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.717440058,Camera,Part_Of_Speech,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.583158868,Camera,Composite_Numerical,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.56,Camera,Composite_Numerical,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.924,Camera,Composite_Numerical,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.691891712,Camera,Composite_Numerical,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.837729917,Camera,Composite_Numerical,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.84,Camera,Composite_Numerical,2k
MX,meanRecall,cv_MX_train.meanRecall,0.835,Camera,Composite_Numerical,2k
MX,meanFscore,cv_MX_train.meanFscore,0.836989157,Camera,Composite_Numerical,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.584136179,Camera,Composite_Numerical,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.553,Camera,Composite_Numerical,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.864,Camera,Composite_Numerical,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.673455142,Camera,Composite_Numerical,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.826824226,Camera,Composite_Numerical,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.821,Camera,Composite_Numerical,2k
BG,meanRecall,cv_BG_train.meanRecall,0.836,Camera,Composite_Numerical,2k
BG,meanFscore,cv_BG_train.meanFscore,0.827645486,Camera,Composite_Numerical,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.806384236,Camera,Composite_Numerical,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.805,Camera,Composite_Numerical,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.812,Camera,Composite_Numerical,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.806675368,Camera,Composite_Numerical,2k
